"ID","TOPIC","LABEL","LEVEL","VIDEO_URL"
"8","Câu hỏi","là gì?","1","https://player.vimeo.com/video/675840537?badge=0&autopause=0&player_id=0&app_id=58479"
"9","Câu hỏi","lí do","1","https://player.vimeo.com/video/675839438?badge=0&autopause=0&player_id=0&app_id=58479"
"1","Câu hỏi","bao giờ?","1","https://player.vimeo.com/video/674716358?badge=0&autopause=0&player_id=0&app_id=58479"
"4","Câu hỏi","còn bạn?","1","https://player.vimeo.com/video/663369409?badge=0&autopause=0&player_id=0&app_id=58479"
"2","Câu hỏi","bao nhiêu?","2","https://player.vimeo.com/video/674716255?badge=0&autopause=0&player_id=0&app_id=58479"
"5","Câu hỏi","đẹp không?","2","https://player.vimeo.com/video/664743761?badge=0&autopause=0&player_id=0&app_id=58479"
"6","Câu hỏi","đói không?","2","https://player.vimeo.com/video/665907902?badge=0&autopause=0&player_id=0&app_id=58479"
"10","Câu hỏi","mệt không?","2","https://player.vimeo.com/video/665907928?badge=0&autopause=0&player_id=0&app_id=58479"
"7","Câu hỏi","đúng không?","3","https://player.vimeo.com/video/663369608?badge=0&autopause=0&player_id=0&app_id=58479"
"11","Câu hỏi","muốn không?","3","https://player.vimeo.com/video/664664779?badge=0&autopause=0&player_id=0&app_id=58479"
"3","Câu hỏi","có … không?","3","https://player.vimeo.com/video/663287057?badge=0&autopause=0&player_id=0&app_id=58479"
"13","Chữ cái","a","1","https://player.vimeo.com/video/667353721?badge=0&autopause=0&player_id=0&app_id=58479"
"14","Chữ cái","ă","1","https://player.vimeo.com/video/667354120?badge=0&autopause=0&player_id=0&app_id=58479"
"15","Chữ cái","â","1","https://player.vimeo.com/video/667353990?badge=0&autopause=0&player_id=0&app_id=58479"
"16","Chữ cái","b","1","https://player.vimeo.com/video/667353875?badge=0&autopause=0&player_id=0&app_id=58479"
"17","Chữ cái","c","1","https://player.vimeo.com/video/667375630?badge=0&autopause=0&player_id=0&app_id=58479"
"18","Chữ cái","d","1","https://player.vimeo.com/video/667375599?badge=0&autopause=0&player_id=0&app_id=58479"
"24","Chữ cái","đ","1","https://player.vimeo.com/video/667375516?badge=0&autopause=0&player_id=0&app_id=58479"
"25","Chữ cái","e","1","https://player.vimeo.com/video/667375485?badge=0&autopause=0&player_id=0&app_id=58479"
"26","Chữ cái","ê","1","https://player.vimeo.com/video/667375347?badge=0&autopause=0&player_id=0&app_id=58479"
"27","Chữ cái","f","1","https://player.vimeo.com/video/669350498?badge=0&autopause=0&player_id=0&app_id=58479"
"28","Chữ cái","g","1","https://player.vimeo.com/video/661749956?badge=0&autopause=0&player_id=0&app_id=58479"
"29","Chữ cái","h","1","https://player.vimeo.com/video/667375109?badge=0&autopause=0&player_id=0&app_id=58479"
"30","Chữ cái","i","1","https://player.vimeo.com/video/662218456?badge=0&autopause=0&player_id=0&app_id=58479"
"31","Chữ cái","j","2","https://player.vimeo.com/video/669355750?badge=0&autopause=0&player_id=0&app_id=58479"
"32","Chữ cái","k","2","https://player.vimeo.com/video/668282874?badge=0&autopause=0&player_id=0&app_id=58479"
"33","Chữ cái","L","2","https://player.vimeo.com/video/661565575?badge=0&autopause=0&player_id=0&app_id=58479"
"34","Chữ cái","l","2","https://player.vimeo.com/video/669330409?badge=0&autopause=0&player_id=0&app_id=58479"
"35","Chữ cái","m","2","https://player.vimeo.com/video/669330393?badge=0&autopause=0&player_id=0&app_id=58479"
"36","Chữ cái","n","2","https://player.vimeo.com/video/669330365?badge=0&autopause=0&player_id=0&app_id=58479"
"37","Chữ cái","o","2","https://player.vimeo.com/video/669330326?badge=0&autopause=0&player_id=0&app_id=58479"
"38","Chữ cái","ô","2","https://player.vimeo.com/video/661543856?badge=0&autopause=0&player_id=0&app_id=58479"
"39","Chữ cái","ơ","2","https://player.vimeo.com/video/661543865?badge=0&autopause=0&player_id=0&app_id=58479"
"40","Chữ cái","p","2","https://player.vimeo.com/video/669342086?badge=0&autopause=0&player_id=0&app_id=58479"
